"VRSTA TURISTIÈNEGA POTOVANJA","DRŽAVA POTOVANJA","MERITVE","2019"
"Turistièna potovanja - SKUPAJ","Avstrija","Potovanja (v 1000)",189
"Turistièna potovanja - SKUPAJ","Avstrija","Prenoèitve (v 1000)",485
"Turistièna potovanja - SKUPAJ","Bosna in Hercegovina","Potovanja (v 1000)",200
"Turistièna potovanja - SKUPAJ","Bosna in Hercegovina","Prenoèitve (v 1000)",678
"Turistièna potovanja - SKUPAJ","Èeška republika","Potovanja (v 1000)",39
"Turistièna potovanja - SKUPAJ","Èeška republika","Prenoèitve (v 1000)",119
"Turistièna potovanja - SKUPAJ","Francija","Potovanja (v 1000)",53
"Turistièna potovanja - SKUPAJ","Francija","Prenoèitve (v 1000)",350
"Turistièna potovanja - SKUPAJ","Grèija","Potovanja (v 1000)",44
"Turistièna potovanja - SKUPAJ","Grèija","Prenoèitve (v 1000)",321
"Turistièna potovanja - SKUPAJ","Hrvaška","Potovanja (v 1000)",1572
"Turistièna potovanja - SKUPAJ","Hrvaška","Prenoèitve (v 1000)",8379
"Turistièna potovanja - SKUPAJ","Italija","Potovanja (v 1000)",289
"Turistièna potovanja - SKUPAJ","Italija","Prenoèitve (v 1000)",1067
"Turistièna potovanja - SKUPAJ","Madžarska","Potovanja (v 1000)",52
"Turistièna potovanja - SKUPAJ","Madžarska","Prenoèitve (v 1000)",117
"Turistièna potovanja - SKUPAJ","Nemèija","Potovanja (v 1000)",140
"Turistièna potovanja - SKUPAJ","Nemèija","Prenoèitve (v 1000)",571
"Turistièna potovanja - SKUPAJ","Srbija","Potovanja (v 1000)",83
"Turistièna potovanja - SKUPAJ","Srbija","Prenoèitve (v 1000)",361
"Turistièna potovanja - SKUPAJ","Španija","Potovanja (v 1000)",67
"Turistièna potovanja - SKUPAJ","Španija","Prenoèitve (v 1000)",481
"Turistièna potovanja - SKUPAJ","Turèija","Potovanja (v 1000)",N
"Turistièna potovanja - SKUPAJ","Turèija","Prenoèitve (v 1000)",N
"Turistièna potovanja - SKUPAJ","Združeno kraljestvo","Potovanja (v 1000)",40
"Turistièna potovanja - SKUPAJ","Združeno kraljestvo","Prenoèitve (v 1000)",178
"Zasebna potovanja","Avstrija","Potovanja (v 1000)",155
"Zasebna potovanja","Avstrija","Prenoèitve (v 1000)",420
"Zasebna potovanja","Bosna in Hercegovina","Potovanja (v 1000)",177
"Zasebna potovanja","Bosna in Hercegovina","Prenoèitve (v 1000)",626
"Zasebna potovanja","Èeška republika","Potovanja (v 1000)",26
"Zasebna potovanja","Èeška republika","Prenoèitve (v 1000)",84
"Zasebna potovanja","Francija","Potovanja (v 1000)",38
"Zasebna potovanja","Francija","Prenoèitve (v 1000)",239
"Zasebna potovanja","Grèija","Potovanja (v 1000)",43
"Zasebna potovanja","Grèija","Prenoèitve (v 1000)",316
"Zasebna potovanja","Hrvaška","Potovanja (v 1000)",1514
"Zasebna potovanja","Hrvaška","Prenoèitve (v 1000)",8264
"Zasebna potovanja","Italija","Potovanja (v 1000)",228
"Zasebna potovanja","Italija","Prenoèitve (v 1000)",934
"Zasebna potovanja","Madžarska","Potovanja (v 1000)",39
"Zasebna potovanja","Madžarska","Prenoèitve (v 1000)",92
"Zasebna potovanja","Nemèija","Potovanja (v 1000)",60
"Zasebna potovanja","Nemèija","Prenoèitve (v 1000)",291
"Zasebna potovanja","Srbija","Potovanja (v 1000)",61
"Zasebna potovanja","Srbija","Prenoèitve (v 1000)",320
"Zasebna potovanja","Španija","Potovanja (v 1000)",53
"Zasebna potovanja","Španija","Prenoèitve (v 1000)",407
"Zasebna potovanja","Turèija","Potovanja (v 1000)",N
"Zasebna potovanja","Turèija","Prenoèitve (v 1000)",N
"Zasebna potovanja","Združeno kraljestvo","Potovanja (v 1000)",N
"Zasebna potovanja","Združeno kraljestvo","Prenoèitve (v 1000)",N
"Poslovna potovanja","Avstrija","Potovanja (v 1000)",35
"Poslovna potovanja","Avstrija","Prenoèitve (v 1000)",65
"Poslovna potovanja","Bosna in Hercegovina","Potovanja (v 1000)",N
"Poslovna potovanja","Bosna in Hercegovina","Prenoèitve (v 1000)",N
"Poslovna potovanja","Èeška republika","Potovanja (v 1000)",N
"Poslovna potovanja","Èeška republika","Prenoèitve (v 1000)",N
"Poslovna potovanja","Francija","Potovanja (v 1000)",N
"Poslovna potovanja","Francija","Prenoèitve (v 1000)",N
"Poslovna potovanja","Grèija","Potovanja (v 1000)",N
"Poslovna potovanja","Grèija","Prenoèitve (v 1000)",N
"Poslovna potovanja","Hrvaška","Potovanja (v 1000)",57
"Poslovna potovanja","Hrvaška","Prenoèitve (v 1000)",115
"Poslovna potovanja","Italija","Potovanja (v 1000)",60
"Poslovna potovanja","Italija","Prenoèitve (v 1000)",132
"Poslovna potovanja","Madžarska","Potovanja (v 1000)",N
"Poslovna potovanja","Madžarska","Prenoèitve (v 1000)",N
"Poslovna potovanja","Nemèija","Potovanja (v 1000)",80
"Poslovna potovanja","Nemèija","Prenoèitve (v 1000)",280
"Poslovna potovanja","Srbija","Potovanja (v 1000)",N
"Poslovna potovanja","Srbija","Prenoèitve (v 1000)",N
"Poslovna potovanja","Španija","Potovanja (v 1000)",N
"Poslovna potovanja","Španija","Prenoèitve (v 1000)",N
"Poslovna potovanja","Turèija","Potovanja (v 1000)",N
"Poslovna potovanja","Turèija","Prenoèitve (v 1000)",N
"Poslovna potovanja","Združeno kraljestvo","Potovanja (v 1000)",N
"Poslovna potovanja","Združeno kraljestvo","Prenoèitve (v 1000)",N
