"VRSTA TURISTIÈNEGA POTOVANJA","DRŽAVA POTOVANJA","MERITVE","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Zasebna potovanja","Avstrija","Povpreèno število prenoèitev",3.3,2.8,2.7,3.0,3.3,2.6,2.8,2.7,N
"Zasebna potovanja","Avstrija","Povpreèni izdatki na turista na prenoèitev (EUR)",66.38,61.45,74.44,61.58,67.19,90.57,68.62,76.70,N
"Zasebna potovanja","Bosna in Hercegovina","Povpreèno število prenoèitev",4.1,4.9,6.8,5.0,6.5,5.3,4.4,3.5,N
"Zasebna potovanja","Bosna in Hercegovina","Povpreèni izdatki na turista na prenoèitev (EUR)",38.85,29.58,22.95,32.69,22.71,27.30,49.23,36.19,N
"Zasebna potovanja","Èeška republika","Povpreèno število prenoèitev",2.8,N,3.3,N,2.8,3.6,N,3.2,N
"Zasebna potovanja","Èeška republika","Povpreèni izdatki na turista na prenoèitev (EUR)",102.30,N,75.65,N,69.30,70.20,N,84.71,N
"Zasebna potovanja","Francija","Povpreèno število prenoèitev",6.5,6.9,6.7,N,7.9,5.6,7.6,6.2,N
"Zasebna potovanja","Francija","Povpreèni izdatki na turista na prenoèitev (EUR)",84.81,65.42,70.50,N,68.75,83.20,78.45,79.01,N
"Zasebna potovanja","Grèija","Povpreèno število prenoèitev",7.9,7.4,8.2,7.3,8.0,8.8,N,7.3,N
"Zasebna potovanja","Grèija","Povpreèni izdatki na turista na prenoèitev (EUR)",93.92,90.96,84.27,108.21,88.95,81.56,N,99.49,N
"Zasebna potovanja","Hrvaška","Povpreèno število prenoèitev",5.9,5.5,5.3,6.2,5.7,5.4,5.6,5.5,6.6
"Zasebna potovanja","Hrvaška","Povpreèni izdatki na turista na prenoèitev (EUR)",33.95,33.38,34.13,32.55,34.48,36.93,37.84,37.66,30.36
"Zasebna potovanja","Italija","Povpreèno število prenoèitev",4.7,3.8,3.3,4.3,4.6,4.3,4.1,4.1,3.9
"Zasebna potovanja","Italija","Povpreèni izdatki na turista na prenoèitev (EUR)",75.89,82.83,87.44,75.47,83.11,77.65,84.21,74.84,60.25
