"VELIKOST GOSPODINJSTVA","MERITVE","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"1- èlansko","Niso šli na turistièno potovanje (zasebno in/ali poslovno)",146,160,165,175,155,148,147,170,213
"1- èlansko","Šli na zasebno potovanje",114,115,117,100,142,136,149,142,104
"1- èlansko","Šli na poslovno potovanje",N,24,N,N,N,N,N,N,N
"2- èlansko","Niso šli na turistièno potovanje (zasebno in/ali poslovno)",199,204,211,195,186,200,183,209,246
"2- èlansko","Šli na zasebno potovanje",241,237,241,266,285,286,308,293,272
"2- èlansko","Šli na poslovno potovanje",35,37,40,48,39,40,29,34,N
"3- ali 4- èlansko","Niso šli na turistièno potovanje (zasebno in/ali poslovno)",213,224,191,205,178,190,166,171,267
"3- ali 4- èlansko","Šli na zasebno potovanje",620,585,611,589,601,599,627,598,504
"3- ali 4- èlansko","Šli na poslovno potovanje",138,118,149,112,115,107,136,142,54
"5- ali veèèlansko","Niso šli na turistièno potovanje (zasebno in/ali poslovno)",57,62,58,56,45,46,36,33,56
"5- ali veèèlansko","Šli na zasebno potovanje",146,145,137,145,143,131,139,139,128
"5- ali veèèlansko","Šli na poslovno potovanje",34,27,32,27,27,22,23,31,N
