"MESEC","STATISTIÈNA REGIJA","Povpreèna doba bivanja – domaèi turisti (prenoèitev)","Povpreèna doba bivanja – tuji turisti (prenoèitev)"
"2019M01","SLOVENIJA",2.97,2.80
"2019M01","Pomurska",2.85,3.14
"2019M01","Podravska",2.99,3.02
"2019M01","Koroška",3.60,4.36
"2019M01","Savinjska",3.15,3.48
"2019M01","Zasavska",1.73,3.47
"2019M01","Posavska",3.25,2.71
"2019M01","Jugovzhodna Slovenija",4.20,2.56
"2019M01","Osrednjeslovenska",1.88,2.17
"2019M01","Gorenjska",2.89,3.19
"2019M01","Primorsko-notranjska",2.04,1.62
"2019M01","Goriška",2.99,2.36
"2019M01","Obalno-kraška",2.92,2.59
"2019M02","SLOVENIJA",2.88,2.59
"2019M02","Pomurska",2.73,2.82
"2019M02","Podravska",2.87,3.04
"2019M02","Koroška",3.34,3.10
"2019M02","Savinjska",3.09,2.94
"2019M02","Zasavska",3.03,2.93
"2019M02","Posavska",2.76,2.59
"2019M02","Jugovzhodna Slovenija",3.99,2.46
"2019M02","Osrednjeslovenska",1.91,2.09
"2019M02","Gorenjska",2.92,3.05
"2019M02","Primorsko-notranjska",2.23,1.56
"2019M02","Goriška",2.83,2.27
"2019M02","Obalno-kraška",2.75,2.22
"2019M03","SLOVENIJA",2.65,2.29
"2019M03","Pomurska",2.71,3.22
"2019M03","Podravska",2.36,2.51
"2019M03","Koroška",3.03,2.62
"2019M03","Savinjska",2.85,3.09
"2019M03","Zasavska",1.44,4.57
"2019M03","Posavska",2.93,2.54
"2019M03","Jugovzhodna Slovenija",4.01,2.21
"2019M03","Osrednjeslovenska",1.70,1.95
"2019M03","Gorenjska",2.67,2.17
"2019M03","Primorsko-notranjska",2.06,1.48
"2019M03","Goriška",2.33,1.99
"2019M03","Obalno-kraška",2.49,2.36
"2019M04","SLOVENIJA",2.59,2.25
"2019M04","Pomurska",2.72,3.57
"2019M04","Podravska",2.29,2.22
"2019M04","Koroška",2.94,2.79
"2019M04","Savinjska",2.91,3.61
"2019M04","Zasavska",2.06,3.00
"2019M04","Posavska",2.87,2.81
"2019M04","Jugovzhodna Slovenija",3.92,2.15
"2019M04","Osrednjeslovenska",1.72,1.93
"2019M04","Gorenjska",1.99,1.92
"2019M04","Primorsko-notranjska",2.07,1.37
"2019M04","Goriška",1.98,2.06
"2019M04","Obalno-kraška",2.59,2.58
"2019M05","SLOVENIJA",2.58,2.19
"2019M05","Pomurska",2.81,3.29
"2019M05","Podravska",2.16,2.09
"2019M05","Koroška",2.34,2.09
"2019M05","Savinjska",2.81,3.52
"2019M05","Zasavska",1.92,3.45
"2019M05","Posavska",3.14,3.31
"2019M05","Jugovzhodna Slovenija",3.38,2.12
"2019M05","Osrednjeslovenska",1.69,2.00
"2019M05","Gorenjska",2.06,1.95
"2019M05","Primorsko-notranjska",1.89,1.41
"2019M05","Goriška",1.98,2.03
"2019M05","Obalno-kraška",2.73,2.35
"2019M06","SLOVENIJA",2.80,2.32
"2019M06","Pomurska",3.05,3.42
"2019M06","Podravska",2.27,1.91
"2019M06","Koroška",2.24,2.30
"2019M06","Savinjska",3.06,3.18
"2019M06","Zasavska",2.75,2.91
"2019M06","Posavska",3.17,3.87
"2019M06","Jugovzhodna Slovenija",3.26,2.02
"2019M06","Osrednjeslovenska",1.82,1.93
"2019M06","Gorenjska",2.19,2.25
"2019M06","Primorsko-notranjska",2.20,1.46
"2019M06","Goriška",1.85,2.35
"2019M06","Obalno-kraška",3.24,2.75
"2019M07","SLOVENIJA",3.76,2.64
"2019M07","Pomurska",3.75,3.33
"2019M07","Podravska",3.22,1.73
"2019M07","Koroška",2.68,3.54
"2019M07","Savinjska",3.73,4.01
"2019M07","Zasavska",2.33,3.42
"2019M07","Posavska",3.94,4.84
"2019M07","Jugovzhodna Slovenija",4.06,2.31
"2019M07","Osrednjeslovenska",2.27,2.02
"2019M07","Gorenjska",2.90,2.64
"2019M07","Primorsko-notranjska",2.73,1.47
"2019M07","Goriška",2.47,2.68
"2019M07","Obalno-kraška",4.82,3.40
"2019M08","SLOVENIJA",3.41,2.60
"2019M08","Pomurska",3.40,3.31
"2019M08","Podravska",2.79,1.62
"2019M08","Koroška",2.46,3.24
"2019M08","Savinjska",3.31,4.10
"2019M08","Zasavska",2.26,2.19
"2019M08","Posavska",3.67,4.41
"2019M08","Jugovzhodna Slovenija",3.71,2.29
"2019M08","Osrednjeslovenska",2.00,1.98
"2019M08","Gorenjska",2.76,2.67
"2019M08","Primorsko-notranjska",2.37,1.54
"2019M08","Goriška",2.37,2.59
"2019M08","Obalno-kraška",4.66,3.26
"2019M09","SLOVENIJA",2.71,2.25
"2019M09","Pomurska",2.97,3.37
"2019M09","Podravska",2.20,1.77
"2019M09","Koroška",1.87,2.16
"2019M09","Savinjska",3.03,3.36
"2019M09","Zasavska",2.17,2.52
