"STATISTIÈNA REGIJA","SKD DEJAVNOST","MESEC","Neto plaèa Plaèa za mesec [EUR]"
"SLOVENIJA","SKD Dejavnost","2014M01",1009.22
"SLOVENIJA","SKD Dejavnost","2014M02",997.60
"SLOVENIJA","SKD Dejavnost","2014M03",1000.38
"SLOVENIJA","SKD Dejavnost","2014M04",1004.44
"SLOVENIJA","SKD Dejavnost","2014M05",1004.14
"SLOVENIJA","SKD Dejavnost","2014M06",999.16
"SLOVENIJA","SKD Dejavnost","2014M07",1006.18
"SLOVENIJA","SKD Dejavnost","2014M08",996.39
"SLOVENIJA","SKD Dejavnost","2014M09",997.74
"SLOVENIJA","SKD Dejavnost","2014M10",1010.66
"SLOVENIJA","SKD Dejavnost","2014M11",1057.26
"SLOVENIJA","SKD Dejavnost","2014M12",1022.14
"SLOVENIJA","SKD Dejavnost","2015M01",1006.91
"SLOVENIJA","SKD Dejavnost","2015M02",993.30
"SLOVENIJA","SKD Dejavnost","2015M03",1011.58
"SLOVENIJA","SKD Dejavnost","2015M04",1008.98
"SLOVENIJA","SKD Dejavnost","2015M05",1000.44
"SLOVENIJA","SKD Dejavnost","2015M06",1006.71
"SLOVENIJA","SKD Dejavnost","2015M07",1008.00
"SLOVENIJA","SKD Dejavnost","2015M08",998.70
"SLOVENIJA","SKD Dejavnost","2015M09",997.77
"SLOVENIJA","SKD Dejavnost","2015M10",1007.28
"SLOVENIJA","SKD Dejavnost","2015M11",1082.34
"SLOVENIJA","SKD Dejavnost","2015M12",1035.58
"SLOVENIJA","SKD Dejavnost","2016M01",1015.85
"SLOVENIJA","SKD Dejavnost","2016M02",1022.32
"SLOVENIJA","SKD Dejavnost","2016M03",1033.95
"SLOVENIJA","SKD Dejavnost","2016M04",1021.74
"SLOVENIJA","SKD Dejavnost","2016M05",1016.36
"SLOVENIJA","SKD Dejavnost","2016M06",1018.70
"SLOVENIJA","SKD Dejavnost","2016M07",1010.78
"SLOVENIJA","SKD Dejavnost","2016M08",1023.28
"SLOVENIJA","SKD Dejavnost","2016M09",1015.33
"SLOVENIJA","SKD Dejavnost","2016M10",1020.40
"SLOVENIJA","SKD Dejavnost","2016M11",1087.08
"SLOVENIJA","SKD Dejavnost","2016M12",1074.27
"SLOVENIJA","SKD Dejavnost","2017M01",1039.12
"SLOVENIJA","SKD Dejavnost","2017M02",1034.20
"SLOVENIJA","SKD Dejavnost","2017M03",1055.85
"SLOVENIJA","SKD Dejavnost","2017M04",1038.05
"SLOVENIJA","SKD Dejavnost","2017M05",1050.78
"SLOVENIJA","SKD Dejavnost","2017M06",1045.06
"SLOVENIJA","SKD Dejavnost","2017M07",1039.55
"SLOVENIJA","SKD Dejavnost","2017M08",1051.73
"SLOVENIJA","SKD Dejavnost","2017M09",1047.14
"SLOVENIJA","SKD Dejavnost","2017M10",1056.47
"SLOVENIJA","SKD Dejavnost","2017M11",1151.76
"SLOVENIJA","SKD Dejavnost","2017M12",1129.76
"SLOVENIJA","SKD Dejavnost","2018M01",1077.73
"SLOVENIJA","SKD Dejavnost","2018M02",1066.33
"SLOVENIJA","SKD Dejavnost","2018M03",1083.00
"SLOVENIJA","SKD Dejavnost","2018M04",1078.95
"SLOVENIJA","SKD Dejavnost","2018M05",1077.77
"SLOVENIJA","SKD Dejavnost","2018M06",1073.47
"SLOVENIJA","SKD Dejavnost","2018M07",1071.76
"SLOVENIJA","SKD Dejavnost","2018M08",1082.88
"SLOVENIJA","SKD Dejavnost","2018M09",1062.03
"SLOVENIJA","SKD Dejavnost","2018M10",1086.80
"SLOVENIJA","SKD Dejavnost","2018M11",1186.25
"SLOVENIJA","SKD Dejavnost","2018M12",1162.67
"SLOVENIJA","SKD Dejavnost","2019M01",1115.98
"SLOVENIJA","SKD Dejavnost","2019M02",1108.10
"SLOVENIJA","SKD Dejavnost","2019M03",1128.15
"SLOVENIJA","SKD Dejavnost","2019M04",1114.98
"SLOVENIJA","SKD Dejavnost","2019M05",1113.88
"SLOVENIJA","SKD Dejavnost","2019M06",1107.96
"SLOVENIJA","SKD Dejavnost","2019M07",1119.08
"SLOVENIJA","SKD Dejavnost","2019M08",1114.16
"SLOVENIJA","SKD Dejavnost","2019M09",1105.26
"SLOVENIJA","SKD Dejavnost","2019M10",1122.40
"SLOVENIJA","SKD Dejavnost","2019M11",1234.75
"SLOVENIJA","SKD Dejavnost","2019M12",1214.93
"SLOVENIJA","SKD Dejavnost","2020M01",1172.56
"SLOVENIJA","SKD Dejavnost","2020M02",1169.91
"SLOVENIJA","SKD Dejavnost","2020M03",1146.11
"SLOVENIJA","SKD Dejavnost","2020M04",1266.13
"SLOVENIJA","SKD Dejavnost","2020M05",1244.44
