"STATISTIÈNA REGIJA","SKUPINA NASTANITVENEGA OBRATA","DRŽAVA","MERITVE","2019M01","2019M02","2019M03","2019M04","2019M05","2019M06","2019M07","2019M08","2019M09","2019M10","2019M11","2019M12","2020M01","2020M02","2020M03","2020M04","2020M05","2020M06","2020M07","2020M08","2020M09","2020M10","2020M11","2020M12","2021M01","2021M02","2021M03","2021M04","2021M05","2021M06","2021M07","2021M08","2021M09"
"SLOVENIJA","1 Hoteli in podobni nastanitveni objekti","Domaèi","Prenoèitve turistov",137556,211428,186982,145927,161066,183245,197138,229250,166014,195551,160048,162587,148828,201534,65178,172,5347,170824,528239,658560,509063,251855,43170,33025,30162,31814,39966,45212,117760,310128,469631,578582,424211
"SLOVENIJA","1 Hoteli in podobni nastanitveni objekti","Tuji","Prenoèitve turistov",339585,300658,352787,507092,526120,620109,788869,919853,612220,484915,327996,346118,343144,306917,81014,1158,3143,79548,219268,280439,150774,70084,13657,12518,13086,25360,33120,22863,58305,147145,387225,547216,348493
"SLOVENIJA","2 Kampi","Domaèi","Prenoèitve turistov",16434,27608,24002,27305,32501,78350,125822,151139,37055,28675,19492,20775,16123,21931,5521,197,8646,83833,273398,309466,122100,25221,517,405,286,288,325,2771,23950,118615,239658,250684,88268
"SLOVENIJA","2 Kampi","Tuji","Prenoèitve turistov",6267,4916,9635,52468,59399,205142,417145,500347,137475,36650,9429,9037,7770,6135,2201,182,976,46937,185950,213854,79506,7962,278,141,235,233,268,441,8948,64403,262181,420559,162931
"SLOVENIJA","3 Drugi nastanitveni obrati","Domaèi","Prenoèitve turistov",112506,184721,117789,87686,112246,161438,226705,260835,128097,105850,81342,99400,110197,162241,44403,670,10873,151582,596969,723275,420873,134183,5684,5915,5692,15472,12273,21902,72799,266337,523104,615836,332129
"SLOVENIJA","3 Drugi nastanitveni obrati","Tuji","Prenoèitve turistov",146077,128824,134008,234643,248699,408398,784658,866037,375763,217654,104492,147281,145759,137632,49677,10214,10361,74859,264821,324077,132119,51770,21552,17959,12945,15613,17620,18533,35724,105818,393997,567352,275680
"Pomurska","1 Hoteli in podobni nastanitveni objekti","Domaèi","Prenoèitve turistov",26460,32044,27388,22752,24696,25239,29761,40974,23413,31090,29012,25020,24886,27807,9723,58,z,17297,69722,85611,69643,39659,3976,4180,2463,2605,3178,3774,10883,37079,60656,71605,53079
"Pomurska","1 Hoteli in podobni nastanitveni objekti","Tuji","Prenoèitve turistov",26157,22969,27124,33744,29923,28144,24361,31010,28516,29560,32344,24651,25841,24770,8836,157,z,2684,4930,5642,4946,2631,439,349,198,409,756,503,1455,5351,11856,12155,16113
"Pomurska","2 Kampi","Domaèi","Prenoèitve turistov",4034,5465,5311,6291,7372,7973,10090,13681,6086,7026,5336,4379,3462,4784,1383,-,z,6600,17625,23327,12438,4665,69,62,62,z,42,z,1654,8955,14724,19165,9450
"Pomurska","2 Kampi","Tuji","Prenoèitve turistov",2011,1895,4367,11095,9685,7395,8435,11814,11406,10511,3712,2719,2139,2208,885,0,z,3302,3308,3955,5054,2093,3,0,0,z,0,z,492,2889,3991,6301,6264
"Pomurska","3 Drugi nastanitveni obrati","Domaèi","Prenoèitve turistov",7955,12660,10169,10481,13388,16034,19357,24450,11978,15699,12863,12177,9181,13555,3485,-,615,12731,46714,51511,37348,18325,237,175,94,z,404,z,6552,23058,38979,48102,28675
