"STATISTIÈNA REGIJA","SKUPINA NASTANITVENEGA OBRATA","DRŽAVA","MERITVE","2019M01","2019M02","2019M03","2019M04","2019M05","2019M06","2019M07","2019M08","2019M09","2019M10","2019M11","2019M12","2020M01","2020M02","2020M03","2020M04","2020M05","2020M06","2020M07","2020M08","2020M09","2020M10","2020M11","2020M12","2021M01","2021M02","2021M03","2021M04","2021M05","2021M06","2021M07","2021M08","2021M09"
"SLOVENIJA","0 Skupina nastanitvenega obrata - SKUPAJ","Domaèi","Prenoèitve turistov",266496,423757,328773,260918,305813,423033,549665,641224,331166,330076,260882,282762,275148,385706,115102,1039,24866,406239,1398606,1691301,1052036,411259,49371,39345,36140,47574,52564,69885,214509,695080,1232393,1445102,844608
"SLOVENIJA","0 Skupina nastanitvenega obrata - SKUPAJ","Tuji","Prenoèitve turistov",491929,434398,496430,794203,834218,1233649,1990672,2286237,1125458,739219,441917,502436,496673,450684,132892,11554,14480,201344,670039,818370,362399,129816,35487,30618,26266,41206,51008,41837,102977,317366,1043403,1535127,787104
"Pomurska","0 Skupina nastanitvenega obrata - SKUPAJ","Domaèi","Prenoèitve turistov",38449,50169,42868,39524,45456,49246,59208,79105,41477,53815,47211,41576,37529,46146,14591,58,1255,36628,134061,160449,119429,62649,4282,4417,2619,2760,3624,6201,19089,69092,114359,138872,91204
"Pomurska","0 Skupina nastanitvenega obrata - SKUPAJ","Tuji","Prenoèitve turistov",30859,27490,34471,50581,45759,41960,44962,55996,45657,43983,38497,29954,30816,29420,10570,187,239,6821,10382,12020,11320,5380,649,474,293,558,1021,888,2427,9377,19968,23588,25951
"Podravska","0 Skupina nastanitvenega obrata - SKUPAJ","Domaèi","Prenoèitve turistov",21779,32073,17512,13904,15946,17685,15612,20445,15438,15328,13871,15509,20996,24989,8826,66,836,10807,39244,55047,37290,18894,1385,862,988,1844,2425,2322,7416,21307,35759,49071,34545
"Podravska","0 Skupina nastanitvenega obrata - SKUPAJ","Tuji","Prenoèitve turistov",42560,41359,29161,43232,48978,66081,84536,89880,54352,45452,32240,34658,39136,40829,13598,4255,4770,14254,24219,29878,20761,19137,9297,6064,4011,3935,6149,5314,14188,22237,48945,65539,40818
"Koroška","0 Skupina nastanitvenega obrata - SKUPAJ","Domaèi","Prenoèitve turistov",8981,11502,7339,3557,3781,4685,5222,7512,4006,4402,3804,8183,12320,16944,4111,74,341,3733,16452,24137,13718,4503,346,278,720,973,839,402,1699,6114,12929,17993,9702
"Koroška","0 Skupina nastanitvenega obrata - SKUPAJ","Tuji","Prenoèitve turistov",4908,2116,1750,2385,2683,5162,9871,11626,3137,3861,1680,3169,6892,3078,649,60,40,976,2682,2710,1607,630,925,811,785,934,1027,542,1134,1724,4929,5064,2677
"Savinjska","0 Skupina nastanitvenega obrata - SKUPAJ","Domaèi","Prenoèitve turistov",60880,89115,65777,49402,54163,65406,76404,89849,56837,67001,60404,61941,68733,90443,27583,199,1757,65808,192138,234892,158511,77555,14485,9159,8639,8758,11542,16353,46084,105602,169185,211134,139100
"Savinjska","0 Skupina nastanitvenega obrata - SKUPAJ","Tuji","Prenoèitve turistov",79363,59234,62685,74510,69046,69745,125681,160957,74141,68143,62081,61184,79972,61603,18352,1066,1069,9329,32514,37211,17315,9539,3220,2558,3359,4554,5701,3264,7660,19663,53940,85052,37563
